customer_id,gender,age,city,signup_date.1,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date.1,loyalty_points,churned,rating,rating_date.1,delivery_status,
C5663,Male,Adult,Peshawar,14-01-2024,O9663,23-08-2023,McDonald's,Burger,Italian,5,1478.27,Cash,38,19-07-2025,238,Active,3,14-10-2024,Cancelled,
C2831,Male,Adult,Multan,07-07-2024,O6831,23-08-2023,KFC,Burger,Italian,3,956.04,Wallet,24,25-11-2024,81,Active,2,21-08-2025,Delayed,
C2851,Other,Senior,Multan,20-06-2025,O6851,23-08-2023,Pizza Hut,Fries,Italian,2,882.51,Cash,42,10-05-2025,82,Inactive,3,19-09-2024,Delayed,
C1694,Female,Senior,Peshawar,05-09-2023,O5694,23-08-2023,Subway,Pizza,Dessert,4,231.3,Card,27,24-07-2025,45,Inactive,2,29-06-2025,Delayed,
C4339,Other,Senior,Lahore,29-12-2023,O8339,24-08-2023,KFC,Sandwich,Dessert,1,1156.69,Cash,35,21-12-2024,418,Inactive,3,06-03-2025,Cancelled,
C6543,Other,Adult,Karachi,28-09-2023,O10543,24-08-2023,Burger King,Pizza,Fast Food,5,1213.62,Cash,45,10-10-2024,418,Inactive,4,01-06-2025,Delivered,
C6423,Male,Adult,Lahore,08-04-2025,O10423,24-08-2023,McDonald's,Pasta,Continental,5,672.91,Wallet,31,25-05-2025,347,Active,1,04-03-2025,Cancelled,
C4621,Male,Adult,Peshawar,05-02-2024,O8621,24-08-2023,Pizza Hut,Pizza,Chinese,2,271.74,Cash,14,01-05-2025,429,Active,2,30-09-2024,Delivered,
C5146,Other,Senior,Karachi,17-12-2024,O9146,24-08-2023,KFC,Pizza,Dessert,5,596.96,Wallet,1,16-05-2025,24,Active,4,27-10-2024,Delayed,
C3579,Male,Adult,Karachi,13-10-2023,O7579,24-08-2023,Pizza Hut,Pizza,Continental,2,1443.25,Cash,15,23-02-2025,270,Inactive,3,11-10-2024,Delayed,
C5535,Male,Adult,Lahore,30-07-2025,O9535,24-08-2023,Subway,Sandwich,Continental,2,645.52,Cash,32,08-04-2025,133,Active,4,05-12-2024,Delayed,
C3894,Female,Senior,Multan,24-01-2025,O7894,24-08-2023,Burger King,Burger,Fast Food,1,126.53,Wallet,45,26-09-2024,48,Inactive,2,20-08-2025,Cancelled,
C4071,Male,Senior,Islamabad,27-12-2024,O8071,24-08-2023,Subway,Pizza,Italian,1,465.75,Card,29,26-12-2024,394,Active,4,16-04-2025,Cancelled,
C4231,Female,Senior,Multan,11-04-2025,O8231,24-08-2023,Burger King,Sandwich,Continental,3,796.91,Wallet,39,12-11-2024,5,Inactive,5,27-02-2025,Delivered,
C3914,Male,Teenager,Islamabad,29-11-2023,O7914,24-08-2023,KFC,Pizza,Fast Food,4,1140.76,Wallet,23,22-04-2025,492,Inactive,5,19-04-2025,Delayed,
C5681,Other,Adult,Islamabad,25-11-2024,O9681,25-08-2023,Subway,Pizza,Continental,1,1285.18,Cash,10,09-04-2025,196,Inactive,2,10-06-2025,Delayed,
C4975,Female,Teenager,Karachi,20-06-2025,O8975,25-08-2023,Burger King,Burger,Dessert,1,673.86,Wallet,38,07-07-2025,439,Inactive,2,09-07-2025,Delivered,
C2876,Female,Senior,Islamabad,30-12-2024,O6876,25-08-2023,KFC,Burger,Chinese,2,330.93,Cash,45,17-07-2025,455,Active,2,28-11-2024,Cancelled,
C6144,Other,Teenager,Peshawar,05-08-2024,O10144,25-08-2023,Subway,Pasta,Fast Food,2,991.17,Wallet,6,22-04-2025,101,Active,2,27-03-2025,Cancelled,
C5092,Female,Adult,Lahore,05-10-2023,O9092,25-08-2023,Subway,Pasta,Chinese,1,1485.16,Card,46,24-04-2025,171,Inactive,3,05-08-2025,Delayed,
